SiteID,Sitename2,Sitename3,WA_County,Lat,Long,LCC_E_km,LCC_N_km,AP3_XCell,AP3_YCell,AP4_XCell,AP4_YCell
530331011,Seattle_South_Park_S2,SS2,King,47.5306,-122.320675,-96.08699331,-157.1692127,21,67,62,197
530332004,Kent_JamesC,KtJ,King,47.3861035,-122.2306265,-89.7745566,-172.7942291,22,66,64,193
530350007,Bremerton_Spruce,BSp,Kitsap,47.592675,-122.62739,-118.2640054,-150.0908503,19,67,56,198
530350008,Suquamish,Suq,Kitsap_Suquamish_Tribe,,,,,,,,
530351005,Meadowdale,Mdw,Kitsap,47.6308,-122.6411,-119.1762283,-145.97535,19,68,56,200
530370002,Ellensburg,Eln,Kittitas,46.99422775,-120.5450695,33.42760918,-215.4787262,32,62,94,182
530370004,Snoqualmie_Pass_IMPROVE,,Kittitas,47.422,-121.4259,-31.05009106,-169.5456257,26,66,78,194
530390003,Wishram,Wsh,Klickitat,45.666204,-121.000708,-0.053283944,-358.1517374,29,50,86,146
530390005,Goldendale,,Klickitat,45.81561,-120.83786,12.17013706,-342.1020178,30,51,89,150
530390010,MtZion_COGO_IMPROVE,,Klickitat,45.5693,-122.2103,-91.24071727,-367.8636094,21,49,63,144
530390011,Wishram_CORI_IMPROVE,,Klickitat,45.6644,-121.0008,-0.060209782,-358.3453779,29,50,86,146
530410003,Packwood,Pkw,Pierce,46.595556,-121.5675,-42.00237767,-258.2345325,25,58,75,171
530410004,Chehalis,Chl,Lewis,46.66408925,-122.9673173,-145.4128113,-249.2381164,17,59,50,174
530410006,Centralia,Cnt,Lewis,,,,,,,,
530410007,White_Pass_IMPROVE,,Lewis,46.6243,-121.3881,-28.70961224,-255.2275411,27,59,79,172
530410008,Vader,Vdr,Lewis,,,,,,,,
530450004,Shelton,Shn,Mason,47.227833,-123.114564,-154.6951616,-188.4414916,16,64,47,189
530450005,Belfair,,,47.418771,-122.849997,-134.8700343,-168.4167247,18,66,52,194
530450006,Skokomish,Skk,Mason_Skokomish_Tribe,47.3258,-123.1505,-157.0408821,-177.8525282,16,65,47,192
530450007,Shelton,Shn,Mason,47.21355075,-123.1008078,-153.7292765,-190.0014718,16,64,48,188
530450096,Mount_Baker,,,48.8561,-121.6817,-48.38618018,-15.2740034,25,79,74,232
530470007,Twisp_Glover,TwG,Okanogan,48.364267,-120.121115,62.96222916,-68.02429307,34,74,102,219
530470009,Twisp_Glover,TwG,Okanogan,48.36444175,-120.1211038,62.96282882,-68.00549828,34,74,102,219
530470010,Winthrop,Wnt,Okanogan,48.4771995,-120.1905905,57.86251298,-55.93551443,34,75,100,222
530470012,Pasayten_IMPROVE,,Okanogan,48.3877,-119.9275,76.79806412,-65.33620767,35,75,105,220
530470013,Omak,Omk,Okanogan,48.39999,-119.5189593,106.0249536,-63.54858025,38,75,113,220
530490002,Raymond,Ray,Pacific,46.68550075,-123.7272023,-201.4821528,-245.2937313,12,60,36,175
530510007,Usk,Usk,Pend_Oreille_Kalispell_Tribe,48.3457,-117.2716,267.0996932,-64.1453415,51,75,153,220
530530012,MtRainier_Jackson,MRJ,Pierce,46.7843945,-121.7384218,-54.46547409,-237.8556722,24,60,72,177
530530014,MtRainier_IMPROVE,,Pierce,46.7583,-122.1244,-82.97276245,-240.3261921,22,60,65,176
530530022,Puyallup_Tribe,PyT,Pierce_Puyallup_Tribe,47.20439925,-122.3433,-98.32084512,-192.1766277,21,64,61,188
530530028,Graham,Ghm,Pierce,46.98,-122.298056,-95.40031034,-216.3282285,21,62,62,182
